time,open,high,low,close,tick_volume,spread,real_volume
2026-03-18 19:00:00+00:00,0.58137,0.58193,0.58099,0.58113,580,18,0
2026-03-18 19:15:00+00:00,0.58116,0.58135,0.58078,0.58091,435,18,0
2026-03-18 19:30:00+00:00,0.58088,0.58133,0.58086,0.58107,360,18,0
2026-03-18 19:45:00+00:00,0.58108,0.58108,0.58049,0.58049,365,18,0
2026-03-18 20:00:00+00:00,0.58048,0.58048,0.57993,0.57997,286,18,0
2026-03-18 20:15:00+00:00,0.57996,0.57996,0.57878,0.57903,312,18,0
2026-03-18 20:30:00+00:00,0.579,0.57923,0.57898,0.57923,205,18,0
2026-03-18 20:45:00+00:00,0.57923,0.57951,0.57918,0.57943,250,18,0
2026-03-18 21:00:00+00:00,0.57945,0.57948,0.57923,0.57923,157,28,0
2026-03-18 21:15:00+00:00,0.57924,0.57934,0.5789,0.57926,374,92,0
2026-03-18 21:30:00+00:00,0.57925,0.57926,0.57887,0.57895,293,118,0
2026-03-18 21:45:00+00:00,0.57896,0.57986,0.57894,0.57959,205,36,0
2026-03-18 22:00:00+00:00,0.57972,0.57989,0.57854,0.57854,288,18,0
2026-03-18 22:15:00+00:00,0.57854,0.57874,0.57841,0.57857,205,18,0
2026-03-18 22:30:00+00:00,0.57857,0.5788,0.57839,0.57875,193,18,0
2026-03-18 22:45:00+00:00,0.57875,0.57889,0.57864,0.57878,159,18,0
2026-03-18 23:00:00+00:00,0.57875,0.57882,0.57859,0.57873,207,18,0
2026-03-18 23:15:00+00:00,0.57873,0.57906,0.57863,0.57904,163,18,0
2026-03-18 23:30:00+00:00,0.57904,0.57943,0.57891,0.57914,188,18,0
2026-03-18 23:45:00+00:00,0.57914,0.57956,0.57891,0.57939,315,18,0
2026-03-19 00:00:00+00:00,0.57942,0.58045,0.57931,0.58037,340,18,0
2026-03-19 00:15:00+00:00,0.58037,0.58131,0.58032,0.58126,332,18,0
2026-03-19 00:30:00+00:00,0.58123,0.58147,0.58088,0.58121,414,18,0
2026-03-19 00:45:00+00:00,0.58121,0.58167,0.58115,0.58157,364,18,0
2026-03-19 01:00:00+00:00,0.58159,0.58185,0.58132,0.58152,380,18,0
2026-03-19 01:15:00+00:00,0.58152,0.58197,0.58137,0.58195,341,18,0
2026-03-19 01:30:00+00:00,0.58196,0.58211,0.58175,0.58181,320,18,0
2026-03-19 01:45:00+00:00,0.58181,0.58181,0.58129,0.5813,237,18,0
2026-03-19 02:00:00+00:00,0.58129,0.58224,0.58084,0.58212,506,18,0
2026-03-19 02:15:00+00:00,0.58211,0.58269,0.58193,0.58263,340,18,0
2026-03-19 02:30:00+00:00,0.58263,0.58263,0.58232,0.58236,276,18,0
2026-03-19 02:45:00+00:00,0.58236,0.58237,0.5817,0.58172,276,18,0
2026-03-19 03:00:00+00:00,0.58173,0.58221,0.58173,0.58215,203,18,0
2026-03-19 03:15:00+00:00,0.58215,0.58227,0.582,0.58206,193,18,0
2026-03-19 03:30:00+00:00,0.58206,0.58206,0.58178,0.58198,178,18,0
2026-03-19 03:45:00+00:00,0.58198,0.58207,0.5818,0.58189,186,18,0
2026-03-19 04:00:00+00:00,0.58186,0.58187,0.58155,0.58174,188,18,0
2026-03-19 04:15:00+00:00,0.58174,0.58177,0.58151,0.58162,192,18,0
2026-03-19 04:30:00+00:00,0.58162,0.5819,0.58155,0.5818,163,18,0
2026-03-19 04:45:00+00:00,0.58179,0.58186,0.58159,0.58171,174,18,0
2026-03-19 05:00:00+00:00,0.58171,0.58181,0.58154,0.5817,200,18,0
2026-03-19 05:15:00+00:00,0.5817,0.58194,0.58168,0.58183,164,18,0
2026-03-19 05:30:00+00:00,0.58183,0.58184,0.58112,0.58112,236,18,0
2026-03-19 05:45:00+00:00,0.58114,0.58154,0.58114,0.58116,238,18,0
2026-03-19 06:00:00+00:00,0.5812,0.58196,0.58107,0.58191,299,18,0
