time,open,high,low,close,tick_volume,spread,real_volume
2023-04-20 04:00:00+00:00,0.61571,0.61816,0.61485,0.61595,240,12,0
2023-04-20 08:00:00+00:00,0.61592,0.61844,0.61556,0.61661,240,12,0
2023-04-20 12:00:00+00:00,0.61658,0.62027,0.61568,0.61888,240,12,0
2023-04-20 16:00:00+00:00,0.61885,0.61919,0.61653,0.61673,240,12,0
2023-04-20 20:00:00+00:00,0.61678,0.61792,0.61672,0.61776,219,12,0
2023-04-21 00:00:00+00:00,0.61779,0.61779,0.61539,0.61564,240,12,0
2023-04-21 04:00:00+00:00,0.61559,0.61588,0.61256,0.61361,239,12,0
2023-04-21 08:00:00+00:00,0.61364,0.61429,0.61262,0.61271,240,12,0
2023-04-21 12:00:00+00:00,0.61269,0.61547,0.61266,0.61359,240,12,0
2023-04-21 16:00:00+00:00,0.61362,0.61459,0.61275,0.61352,239,12,0
2023-04-21 20:00:00+00:00,0.61348,0.61416,0.61347,0.61381,58,12,0
2023-04-23 20:00:00+00:00,0.61366,0.61447,0.61317,0.61404,137,20,0
2023-04-24 00:00:00+00:00,0.61408,0.61462,0.61304,0.61326,240,12,0
2023-04-24 04:00:00+00:00,0.6132,0.61474,0.61247,0.61447,240,12,0
2023-04-24 08:00:00+00:00,0.61452,0.61539,0.61374,0.61396,240,12,0
2023-04-24 12:00:00+00:00,0.61393,0.61544,0.61369,0.61388,240,12,0
2023-04-24 16:00:00+00:00,0.61389,0.6166,0.61381,0.61638,239,12,0
2023-04-24 20:00:00+00:00,0.61633,0.61748,0.61617,0.61743,184,12,0
2023-04-25 00:00:00+00:00,0.61746,0.61868,0.61675,0.61695,240,12,0
2023-04-25 04:00:00+00:00,0.617,0.6175,0.61533,0.6157,237,12,0
2023-04-25 08:00:00+00:00,0.61566,0.61726,0.61501,0.61559,240,12,0
2023-04-25 12:00:00+00:00,0.61562,0.61663,0.61411,0.61414,240,12,0
2023-04-25 16:00:00+00:00,0.61418,0.61438,0.61288,0.61381,240,12,0
2023-04-25 20:00:00+00:00,0.61375,0.6147,0.61334,0.61457,214,12,0
2023-04-26 00:00:00+00:00,0.61461,0.61481,0.61285,0.6129,240,12,0
2023-04-26 04:00:00+00:00,0.61287,0.61442,0.61271,0.61347,240,12,0
2023-04-26 08:00:00+00:00,0.61351,0.61386,0.61213,0.61225,240,12,0
2023-04-26 12:00:00+00:00,0.61228,0.61433,0.61197,0.61326,240,12,0
2023-04-26 16:00:00+00:00,0.6132,0.61328,0.61082,0.61166,240,12,0
2023-04-26 20:00:00+00:00,0.61164,0.61203,0.61112,0.61194,207,12,0
2023-04-27 00:00:00+00:00,0.61196,0.61372,0.61137,0.61303,240,12,0
2023-04-27 04:00:00+00:00,0.61301,0.61547,0.61301,0.61442,240,12,0
2023-04-27 08:00:00+00:00,0.61439,0.61559,0.61381,0.61492,240,12,0
2023-04-27 12:00:00+00:00,0.61494,0.61603,0.6121,0.61301,240,12,0
2023-04-27 16:00:00+00:00,0.61305,0.61474,0.61283,0.61418,240,12,0
2023-04-27 20:00:00+00:00,0.61422,0.6148,0.6139,0.61446,216,12,0
2023-04-28 00:00:00+00:00,0.6145,0.61588,0.61446,0.61511,240,12,0
2023-04-28 04:00:00+00:00,0.61515,0.61534,0.61233,0.61367,240,12,0
2023-04-28 08:00:00+00:00,0.61364,0.61507,0.6124,0.61501,240,12,0
2023-04-28 12:00:00+00:00,0.61505,0.61845,0.61313,0.61842,240,12,0
2023-04-28 16:00:00+00:00,0.61839,0.61866,0.61768,0.61825,238,12,0
2023-04-28 20:00:00+00:00,0.61827,0.61866,0.61794,0.61813,58,12,0
2023-04-30 20:00:00+00:00,0.61726,0.61831,0.61693,0.61701,167,20,0
2023-05-01 00:00:00+00:00,0.61706,0.61851,0.61663,0.61843,240,12,0
2023-05-01 04:00:00+00:00,0.61841,0.61894,0.61792,0.61819,238,12,0
2023-05-01 08:00:00+00:00,0.61823,0.61825,0.6171,0.61752,240,12,0
2023-05-01 12:00:00+00:00,0.61751,0.61989,0.61645,0.61678,240,12,0
2023-05-01 16:00:00+00:00,0.61673,0.61703,0.61604,0.61641,240,12,0
2023-05-01 20:00:00+00:00,0.61645,0.61708,0.61628,0.6163,172,12,0
2023-05-02 00:00:00+00:00,0.61635,0.61849,0.61622,0.61759,240,12,0
2023-05-02 04:00:00+00:00,0.61758,0.62046,0.61754,0.61929,240,12,0
2023-05-02 08:00:00+00:00,0.61928,0.62175,0.61856,0.6214,240,12,0
2023-05-02 12:00:00+00:00,0.62136,0.6214,0.61931,0.62057,240,12,0
2023-05-02 16:00:00+00:00,0.62052,0.62108,0.6204,0.6207,239,12,0
2023-05-02 20:00:00+00:00,0.62077,0.62295,0.62021,0.62239,212,12,0
2023-05-03 00:00:00+00:00,0.62241,0.62488,0.6211,0.62355,240,12,0
2023-05-03 04:00:00+00:00,0.6235,0.62375,0.62254,0.62325,240,12,0
2023-05-03 08:00:00+00:00,0.62329,0.62369,0.62203,0.62285,240,12,0
2023-05-03 12:00:00+00:00,0.6229,0.62384,0.62149,0.62356,240,12,0
2023-05-03 16:00:00+00:00,0.62352,0.62598,0.62193,0.62272,240,12,0
2023-05-03 20:00:00+00:00,0.62267,0.623,0.62052,0.62076,219,12,0
2023-05-04 00:00:00+00:00,0.6208,0.62466,0.62064,0.62432,240,12,0
2023-05-04 04:00:00+00:00,0.62428,0.62536,0.62347,0.6241,240,12,0
2023-05-04 08:00:00+00:00,0.62412,0.62728,0.62308,0.6269,240,12,0
2023-05-04 12:00:00+00:00,0.62686,0.62849,0.62543,0.62812,240,12,0
2023-05-04 16:00:00+00:00,0.62808,0.62979,0.62794,0.628,240,12,0
2023-05-04 20:00:00+00:00,0.62795,0.62904,0.62736,0.62891,214,12,0
2023-05-05 00:00:00+00:00,0.62896,0.63119,0.6287,0.63102,240,12,0
2023-05-05 04:00:00+00:00,0.63105,0.63149,0.6294,0.6295,240,12,0
2023-05-05 08:00:00+00:00,0.62953,0.63014,0.62903,0.6292,240,12,0
