time,open,high,low,close,tick_volume,spread,real_volume
2024-02-16 20:00:00+00:00,51697.05,52224.43,51614.04,52112.97,21504,3014,0
2024-02-17 00:00:00+00:00,52105.78,52170.19,51816.59,51915.59,18368,2873,0
2024-02-17 04:00:00+00:00,51919.55,52035.27,51743.84,51865.57,17705,3050,0
2024-02-17 08:00:00+00:00,51870.71,51874.4,51424.75,51634.99,21520,2918,0
2024-02-17 12:00:00+00:00,51636.95,51683.77,50570.03,50938.39,30093,4207,0
2024-02-17 16:00:00+00:00,50934.17,51410.36,50671.77,51354.5,23179,4247,0
2024-02-17 20:00:00+00:00,51358.72,51962.69,51258.3,51613.87,23136,3609,0
2024-02-18 00:00:00+00:00,51571.32,51753.28,51105.88,51442.34,22220,3353,0
2024-02-18 04:00:00+00:00,51436.44,51701.88,51358.66,51626.3,19402,2820,0
2024-02-18 08:00:00+00:00,51621.64,52041.67,51569.02,51781.04,20057,2604,0
2024-02-18 12:00:00+00:00,51783.17,51900.1,51472.8,51737.0,20631,2748,0
2024-02-18 16:00:00+00:00,51739.13,51926.75,51596.7,51737.63,20852,2683,0
2024-02-18 20:00:00+00:00,51738.45,52353.36,51550.13,52041.66,23419,2709,0
2024-02-19 00:00:00+00:00,52065.14,52381.57,51841.11,52004.02,23621,2782,0
2024-02-19 04:00:00+00:00,52002.18,52474.46,51909.01,52374.74,22918,2603,0
2024-02-19 08:00:00+00:00,52379.66,52439.29,52002.6,52308.0,24727,2603,0
2024-02-19 12:00:00+00:00,52304.46,52440.8,51950.97,52076.87,25747,2602,0
2024-02-19 16:00:00+00:00,52077.11,52173.78,51603.8,51745.07,25962,2901,0
2024-02-19 20:00:00+00:00,51743.84,52045.03,51614.23,51704.75,21340,3266,0
2024-02-20 00:00:00+00:00,51708.52,51763.28,51223.38,51537.02,24020,3285,0
2024-02-20 04:00:00+00:00,51536.08,51984.62,51459.19,51784.14,22083,2944,0
2024-02-20 08:00:00+00:00,51778.34,52356.05,51477.06,52244.7,26829,2633,0
2024-02-20 12:00:00+00:00,52246.61,52925.83,51290.83,51626.74,37819,2604,0
2024-02-20 16:00:00+00:00,51622.67,52051.04,50675.25,52016.35,30742,3567,0
2024-02-20 20:00:00+00:00,52019.38,52496.64,51806.86,52190.47,25016,3217,0
2024-02-21 00:00:00+00:00,52194.46,52321.5,51901.88,51933.87,19636,3150,0
2024-02-21 04:00:00+00:00,51934.47,52065.74,51421.11,51516.23,21496,3267,0
2024-02-21 08:00:00+00:00,51519.88,51740.75,50728.06,50907.77,29063,3662,0
2024-02-21 12:00:00+00:00,50914.23,51408.0,50495.01,51102.81,36530,3575,0
2024-02-21 16:00:00+00:00,51100.11,51400.34,50537.99,51006.6,30960,3464,0
2024-02-21 20:00:00+00:00,51009.86,51913.7,50801.56,51775.6,24192,3180,0
2024-02-22 00:00:00+00:00,51821.76,51842.6,51103.06,51539.74,22572,3123,0
2024-02-22 04:00:00+00:00,51535.65,51859.92,51253.78,51751.18,21735,3089,0
2024-02-22 08:00:00+00:00,51756.78,51980.71,51460.88,51581.27,23674,3240,0
2024-02-22 12:00:00+00:00,51580.97,51695.11,50865.93,51536.99,29149,3417,0
2024-02-22 16:00:00+00:00,51536.57,51695.55,51341.14,51465.22,23573,3571,0
2024-02-22 20:00:00+00:00,51466.03,52022.5,51145.28,51277.17,25443,3390,0
2024-02-23 00:00:00+00:00,51207.07,51509.63,50875.81,51049.44,23105,3851,0
2024-02-23 04:00:00+00:00,51046.16,51259.86,50812.69,50865.25,21290,4259,0
2024-02-23 08:00:00+00:00,50865.34,51224.82,50759.42,51174.47,22915,4245,0
2024-02-23 12:00:00+00:00,51170.04,51258.67,50721.3,50872.57,27942,4169,0
2024-02-23 16:00:00+00:00,50874.77,51165.03,50564.66,51079.86,24744,4372,0
2024-02-23 20:00:00+00:00,51073.96,51128.3,50450.63,50690.89,20051,4338,0
2024-02-24 00:00:00+00:00,50702.09,50875.75,50502.44,50804.26,19570,4609,0
2024-02-24 04:00:00+00:00,50805.29,51051.66,50766.87,51034.67,15521,4299,0
2024-02-24 08:00:00+00:00,51027.94,51113.94,50894.85,51055.9,16122,4217,0
2024-02-24 12:00:00+00:00,51055.79,51110.09,50969.07,51042.76,16018,3786,0
2024-02-24 16:00:00+00:00,51043.43,51654.64,51029.43,51535.18,19463,3428,0
2024-02-24 20:00:00+00:00,51537.64,51648.72,51383.14,51542.29,16952,3267,0
2024-02-25 00:00:00+00:00,51529.22,51859.25,51389.61,51603.97,18415,3132,0
2024-02-25 04:00:00+00:00,51603.74,51779.79,51475.94,51678.04,16411,3265,0
2024-02-25 08:00:00+00:00,51674.06,51731.03,51476.96,51605.46,15959,3234,0
2024-02-25 12:00:00+00:00,51605.68,51729.32,51376.52,51461.38,16951,3226,0
2024-02-25 16:00:00+00:00,51463.5,51697.73,51187.14,51617.99,18677,3788,0
2024-02-25 20:00:00+00:00,51616.1,51927.61,51572.42,51670.05,18591,3648,0
2024-02-26 00:00:00+00:00,51664.27,51739.39,51338.93,51496.71,18317,3887,0
2024-02-26 04:00:00+00:00,51500.2,51567.32,51217.25,51244.87,16679,4298,0
2024-02-26 08:00:00+00:00,51243.98,51345.4,50848.85,51023.43,21590,4485,0
2024-02-26 12:00:00+00:00,51027.79,52873.96,50865.17,52863.99,25609,2680,0
2024-02-26 16:00:00+00:00,52862.1,54469.7,52743.15,54442.78,28789,2604,0
2024-02-26 20:00:00+00:00,54435.06,54851.06,54231.26,54467.24,26293,2603,0
2024-02-27 00:00:00+00:00,54448.23,56967.56,54404.76,55632.67,31065,2613,0
2024-02-27 04:00:00+00:00,55634.77,56438.89,55496.72,56052.89,24894,3172,0
2024-02-27 08:00:00+00:00,56057.29,56810.49,56003.49,56510.55,26750,3100,0
